Post URL,User,Author Name,Likes,Views,Shares,Comments,Comments Data,Caption,HashTags,Music,Date Posted,Date Collected
https://www.tiktok.com/@jaadiee/7198199504405843205,jaadiee,Jaadiee,14600000,105300000,338200,114200,"['this world finna end', 'Gramps got it']",Replying to @Big T. Styling the Big Red Boot 🅱️🥵👴🏻 ,#gramps #bigredboot #mschf #streetwear #fashion #styling #outfit #astroboy ,HOTEL LOBBY (Unc & Phew),2023-02-09 22:20:28,2023-11-19 01:17:23.240196
https://www.tiktok.com/@_valentinemoon_/7017520592807103749,_valentinemoon_,Rosie Somerville,12400000,94900000,82600,76500,"['imagine having to use the bathroom right when u get ready 😭', 'I love it and that is a LOT of layers']",Thank you sm for letting me know  my videos are being stolen! I have reported them so hopefully they get taken down ❤️ ,#disney #sewing #fashion #diy,"Try Everything (From ""Zootopia"")",2021-10-11 00:53:57,2023-11-19 01:17:24.885254
https://www.tiktok.com/@quentaloup/7248033321270136070,quentaloup,Quentaloup,11000000,56900000,84300,54000,"['this is so conan gray', 'i feel like Conan Gray would wear this']",❤️ so proud of this project !  ,#craft #fashion #diy #beadedjewelry  ,Attention,2023-06-24 05:21:08,2023-11-19 01:17:26.676105
https://www.tiktok.com/@gioz111/7130344602581650693,gioz111,GIO,10300000,70000000,13000,12800,"['Ok but like imagine how iconic it would have been if the moths started to come out as the model was walking', ""I tought IT was Some Kind of gold .... didn't expected moths 😭 💀""]",Cruella hace un vestido con capullos de polillas ,#parati #cruella #polilla #dress #fashion #disney #diseñodemoda #emmastone,Love You So,2022-08-11 01:48:46,2023-11-19 01:17:28.239959
https://www.tiktok.com/@jaadiee/6865297338781519110,jaadiee,Jaadiee,9800000,61300000,189300,61700,"['Dripppy drip', 'Grandpa got dripp']",Grateful Gramps 👴🏻💛 ,#gramps #opa #streetwear #fashion #drake #mode #makeover,Know Yourself,2020-08-26 19:50:04,2023-11-19 01:17:30.089308
https://www.tiktok.com/@nickelodeon/6939314340780625158,nickelodeon,Nickelodeon,9700000,56700000,179400,98000,"['She looks mad 😌', 'Gottem']",slime looks good on ya @charlidamelio 💚 ,#kca #slime #charlidamelio #surprise #fashion #slimed,original sound,2021-03-14 06:53:48,2023-11-19 01:17:32.036980
https://www.tiktok.com/@jaadiee/7199683549602073862,jaadiee,Jaadiee,9300000,48300000,257700,78700,"['Unmatchable DRIP 🔥', 'Lovely couple 🥰🥰🥰']",Ready for their date 🥹💐  ,#grwm #valentinesday #vday #date #gramps #grandparents #fashion #streetwear #style ,Love songX,2023-02-13 22:19:19,2023-11-19 01:17:33.867310
https://www.tiktok.com/@hahahallberg/7204888387323530501,hahahallberg,Daniel Hallberg,8900000,124100000,60300,30900,"[""it's criticism on fast fashion"", 'thats honestly a cool concept']",@AVAVAV Fashion Show  ,#milanfashionweek #fail #fashionfail #fashionweek #funny #lol #fashion ,Benny Hill Theme,2023-02-27 22:56:44,2023-11-19 01:17:35.908053
https://www.tiktok.com/@deannagiulietti/6916914133887716613,deannagiulietti,Deanna Giulietti,8000000,44300000,12900,15300,"['GURL WHY U CRYING?! IT LOOKS SO GOOD EITHER WAY❤❤ you always look amazing🥺❤', 'that blue looks amazing on you!!']",She is righting her wrongs. ,#ootd #gown #dress #designer #love #laugh #comedy #jokes #happy #model #happy #goodvibes  #fashion,original sound,2021-01-12 22:09:47,2023-11-19 01:17:37.787120
https://www.tiktok.com/@crescentshay/6930038872109812998,crescentshay,Shay,7800000,34300000,50900,68800,"['@mysticc_clouddx yuppie she making my future dresses this is nice', '@gogo_squeeeze i want to make thisss']","🐸 making a frog dress 🐸 (this is part 1, the base dress. part 2 will have the coat!) ",#frogtok #fashion #diy #frog,Campus,2021-02-17 07:00:26,2023-11-19 01:17:39.530211
